nationality,era_name,birth_year_band,gender,target_count,collected_count,candidate_count,license_rejected_count,download_failure_count,shortage_reason
Mexico,中世後期,1000–1399,male,5,5,9,0,0,
Mexico,ルネサンス・初期近世,1400–1599,male,5,5,30,0,0,
Mexico,近世前期,1600–1699,male,5,5,10,0,0,
Mexico,近世後期,1700–1799,male,5,5,64,0,5,
Mexico,近世後期,1700–1799,female,5,5,19,0,0,
Mexico,近代前期,1800–1849,male,5,5,10,0,1,
Mexico,近代前期,1800–1849,female,5,5,29,0,0,
Mexico,近代後期,1850–1899,female,5,5,69,0,0,
Mexico,現代前期,1900–1949,male,5,5,7,0,1,
Mexico,現代後期,1980–1999,male,5,5,45,0,0,
Mexico,現代後期,1980–1999,female,5,5,77,0,0,
Mexico,現代最年少,2000–2009,male,5,5,82,0,0,
Mexico,現代最年少,2000–2009,female,5,5,52,0,0,
Egypt,古代前期,紀元前400–紀元前1,male,5,5,7,0,0,
Egypt,古代前期,紀元前400–紀元前1,female,5,5,7,0,0,
Egypt,古代後期,1–499,male,5,5,66,0,0,
Egypt,古代後期,1–499,female,5,5,15,0,0,
Egypt,中世前期,500–999,male,5,5,8,0,0,
Egypt,近世前期,1600–1699,male,5,5,9,0,2,
Egypt,近代前期,1800–1849,male,5,5,9,0,3,
Egypt,近代前期,1800–1849,female,5,5,8,0,3,
Egypt,近代後期,1850–1899,male,5,5,11,0,5,
Egypt,近代後期,1850–1899,female,5,5,25,0,0,
Egypt,現代前期,1900–1949,male,5,5,8,0,0,
Egypt,現代前期,1900–1949,female,5,5,36,0,0,
Egypt,現代後期,1980–1999,male,5,5,95,0,0,
Egypt,現代後期,1980–1999,female,5,5,113,0,0,
Egypt,現代最年少,2000–2009,female,5,5,16,0,0,
South Korea,中世前期,500–999,male,5,5,8,0,0,
South Korea,中世後期,1000–1399,male,5,5,11,0,0,
South Korea,ルネサンス・初期近世,1400–1599,male,5,5,27,0,0,
South Korea,近世前期,1600–1699,male,5,5,16,0,0,
South Korea,近世後期,1700–1799,male,5,5,8,0,0,
South Korea,近代前期,1800–1849,male,5,5,13,0,0,
South Korea,近代後期,1850–1899,male,5,5,35,0,0,
South Korea,近代後期,1850–1899,female,5,5,7,0,1,
South Korea,現代前期,1900–1949,male,5,5,10,0,1,
South Korea,現代前期,1900–1949,female,5,5,8,0,1,
South Korea,現代最年少,2000–2009,male,5,5,128,0,0,
Turkey,古代後期,1–499,female,5,5,43,0,0,
Turkey,中世前期,500–999,female,5,5,20,0,0,
Turkey,中世後期,1000–1399,female,5,5,22,0,0,
Turkey,ルネサンス・初期近世,1400–1599,female,5,5,9,0,0,
