nationality,era_name,birth_year_band,gender,target_count,collected_count,candidate_count,license_rejected_count,download_failure_count,shortage_reason
United States,近世前期,1600–1699,female,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
United States,現代中期,1950–1979,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
United States,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
India,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
India,古代後期,1–499,male,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
India,古代後期,1–499,female,5,3,4,0,0,候補はあったが目標件数まで到達しなかった
India,中世前期,500–999,male,5,1,3,0,2,候補はあったがダウンロード失敗が発生した
India,中世前期,500–999,female,5,2,4,0,2,候補はあったがダウンロード失敗が発生した
India,中世後期,1000–1399,male,5,3,6,0,2,候補はあったがダウンロード失敗が発生した
India,中世後期,1000–1399,female,5,1,4,0,3,候補はあったがダウンロード失敗が発生した
India,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
India,現代中期,1950–1979,female,5,0,3,0,0,候補はあったが目標件数まで到達しなかった
India,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
India,現代後期,1980–1999,female,5,0,3,0,0,候補はあったが目標件数まで到達しなかった
India,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,古代前期,紀元前400–紀元前1,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Germany,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,古代後期,1–499,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Germany,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,中世後期,1000–1399,male,5,1,4,0,3,候補はあったがダウンロード失敗が発生した
Germany,中世後期,1000–1399,female,5,0,5,0,5,候補はあったがダウンロード失敗が発生した
Germany,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,古代前期,紀元前400–紀元前1,female,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Netherlands,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,古代後期,1–499,female,5,3,3,0,0,候補はあったが目標件数まで到達しなかった
Netherlands,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,中世前期,500–999,female,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
Netherlands,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,ルネサンス・初期近世,1400–1599,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,近世前期,1600–1699,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Sweden,近世後期,1700–1799,male,5,4,4,0,0,候補はあったが目標件数まで到達しなかった
Sweden,近代前期,1800–1849,male,5,2,4,0,0,候補はあったが目標件数まで到達しなかった
Sweden,近代前期,1800–1849,female,5,0,2,0,0,候補はあったが目標件数まで到達しなかった
Sweden,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,古代後期,1–499,male,5,3,9,0,3,候補はあったがダウンロード失敗が発生した
Italy,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,中世前期,500–999,female,5,0,1,0,0,候補はあったが目標件数まで到達しなかった
Italy,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,中世後期,1000–1399,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,ルネサンス・初期近世,1400–1599,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,ルネサンス・初期近世,1400–1599,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,近世前期,1600–1699,male,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
Canada,近世前期,1600–1699,female,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Canada,近世後期,1700–1799,male,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
Canada,近世後期,1700–1799,female,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Canada,近代前期,1800–1849,female,5,1,5,0,0,候補はあったが目標件数まで到達しなかった
Canada,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Spain,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Spain,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Spain,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Spain,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Spain,中世前期,500–999,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Spain,中世前期,500–999,female,5,0,1,0,0,候補はあったが目標件数まで到達しなかった
Spain,中世後期,1000–1399,male,5,2,10,0,8,候補はあったがダウンロード失敗が発生した
Spain,中世後期,1000–1399,female,5,0,8,0,8,候補はあったがダウンロード失敗が発生した
Spain,ルネサンス・初期近世,1400–1599,male,5,4,19,0,15,候補はあったがダウンロード失敗が発生した
Spain,ルネサンス・初期近世,1400–1599,female,5,1,16,0,15,候補はあったがダウンロード失敗が発生した
Spain,現代中期,1950–1979,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Spain,現代中期,1950–1979,female,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Spain,現代後期,1980–1999,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Spain,現代後期,1980–1999,female,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Spain,現代最年少,2000–2009,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Spain,現代最年少,2000–2009,female,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Switzerland,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,古代後期,1–499,female,5,0,3,0,0,候補はあったが目標件数まで到達しなかった
Switzerland,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,中世前期,500–999,female,5,3,5,0,0,候補はあったが目標件数まで到達しなかった
Switzerland,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,ルネサンス・初期近世,1400–1599,male,5,4,5,0,1,候補はあったがダウンロード失敗が発生した
Switzerland,近世前期,1600–1699,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Switzerland,近世後期,1700–1799,male,5,2,4,0,1,候補はあったがダウンロード失敗が発生した
Switzerland,近代後期,1850–1899,female,5,3,12,0,3,候補はあったがダウンロード失敗が発生した
Switzerland,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Switzerland,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,中世後期,1000–1399,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,ルネサンス・初期近世,1400–1599,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,ルネサンス・初期近世,1400–1599,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,近世前期,1600–1699,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Russia,近世前期,1600–1699,female,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Russia,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Russia,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Poland,古代前期,紀元前400–紀元前1,male,5,1,2,0,0,候補はあったが目標件数まで到達しなかった
Poland,古代前期,紀元前400–紀元前1,female,5,1,2,0,0,候補はあったが目標件数まで到達しなかった
Poland,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Poland,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Poland,中世前期,500–999,male,5,0,1,0,0,候補はあったが目標件数まで到達しなかった
Poland,中世前期,500–999,female,5,0,1,0,0,候補はあったが目標件数まで到達しなかった
Poland,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Poland,ルネサンス・初期近世,1400–1599,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Poland,近世後期,1700–1799,male,5,1,6,0,1,候補はあったがダウンロード失敗が発生した
Poland,近代前期,1800–1849,female,5,2,9,0,0,候補はあったが目標件数まで到達しなかった
Poland,近代後期,1850–1899,female,5,4,16,0,0,候補はあったが目標件数まで到達しなかった
Poland,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Poland,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Poland,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Poland,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,中世後期,1000–1399,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,ルネサンス・初期近世,1400–1599,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,ルネサンス・初期近世,1400–1599,female,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
Brazil,近世前期,1600–1699,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Brazil,近世前期,1600–1699,female,5,2,3,0,0,候補はあったが目標件数まで到達しなかった
Brazil,近世後期,1700–1799,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Brazil,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,中世後期,1000–1399,female,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
Australia,ルネサンス・初期近世,1400–1599,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,ルネサンス・初期近世,1400–1599,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,近世前期,1600–1699,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Australia,近世前期,1600–1699,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,近世後期,1700–1799,female,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
Australia,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Australia,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Mexico,古代前期,紀元前400–紀元前1,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Mexico,古代前期,紀元前400–紀元前1,female,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Mexico,古代後期,1–499,female,5,0,2,0,2,候補はあったがダウンロード失敗が発生した
Mexico,中世前期,500–999,female,5,1,2,0,1,候補はあったがダウンロード失敗が発生した
Mexico,中世後期,1000–1399,female,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Mexico,ルネサンス・初期近世,1400–1599,female,5,4,6,0,1,候補はあったがダウンロード失敗が発生した
Mexico,近世前期,1600–1699,female,5,4,4,0,0,候補はあったが目標件数まで到達しなかった
Mexico,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Mexico,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Egypt,中世後期,1000–1399,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Egypt,中世後期,1000–1399,female,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Egypt,ルネサンス・初期近世,1400–1599,female,5,3,4,0,1,候補はあったがダウンロード失敗が発生した
Egypt,近世前期,1600–1699,female,5,2,11,0,2,候補はあったがダウンロード失敗が発生した
Egypt,近世後期,1700–1799,male,5,3,3,0,0,候補はあったが目標件数まで到達しなかった
Egypt,近世後期,1700–1799,female,5,1,2,0,0,候補はあったが目標件数まで到達しなかった
Egypt,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Egypt,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
